"","ID","Year","Total.Det","Total.Yr.Month"
"231","32904",2017,1327,12
"232","32904",2018,9,2
"233","32905",2013,34501,7
"234","32905",2014,13323,7
"235","32913",2013,16514,9
"236","32913",2014,18085,12
"237","32913",2015,1781,9
"238","32916",2013,463,2
"239","32916",2014,2179,11
"240","32918",2013,8588,8
"241","32918",2014,7599,5
"242","32919",2013,11986,8
"243","32919",2014,5445,10
"244","32919",2015,117,6
"245","32919",2016,1,1
"246","32920",2013,7516,8
"247","32920",2014,2343,4
"248","35787",2016,25020,4
"249","49984",2021,8141,9
"250","49984",2022,25068,9
"251","49987",2021,30285,8
"252","49987",2022,26060,8
"253","49987",2023,21041,5
"254","50350",2021,8063,7
"255","50350",2022,21504,9
"256","50350",2023,1,1
"257","50351",2021,20375,11
"258","50351",2022,45409,12
"259","50351",2023,25091,7
"260","50356",2021,19870,9
"261","50356",2022,28473,9
"262","50356",2023,27,1
"263","50358",2021,7416,11
"264","50358",2022,13102,10
"265","50359",2021,7083,5
"266","51309",2012,298,2
"267","51309",2013,7,2
"268","51310",2012,2412,9
"269","51310",2013,30,1
"270","51312",2012,1759,4
"271","51312",2013,2792,11
"272","51312",2014,466,3
"273","51312",2015,979,6
"274","51313",2012,236,3
"275","51313",2013,3393,9
"276","51315",2013,11831,12
"277","51315",2014,7875,12
"278","51315",2015,1387,4
"279","51316",2012,365,6
"280","51316",2013,9503,7
"281","51317",2012,824,6
"282","51317",2013,4096,6
"283","51317",2014,2318,5
"284","51318",2012,853,4
"285","51318",2013,4936,12
"286","51318",2014,4312,11
"287","51318",2015,2322,7
"288","51321",2012,306,2
"289","51321",2014,2,1
"290","51322",2012,2,1
"291","51322",2013,241,4
"292","51323",2012,1529,5
"293","51324",2012,2634,6
"294","51324",2013,343,1
"295","51325",2012,514,8
"296","51325",2013,1883,12
"297","51325",2014,4336,12
"298","51325",2015,1054,4
"299","51326",2012,2629,9
"300","51326",2013,2381,6
"301","51638",2016,24,1
"302","51638",2017,9391,11
"303","51638",2018,19326,12
"304","51638",2019,14300,6
"305","51640",2016,1272,1
"306","51640",2017,7886,10
"307","51644",2016,1547,1
"308","51644",2017,26876,9
"309","51645",2016,286,1
"310","51645",2017,13067,9
"311","51652",2017,8945,11
"312","51652",2018,28194,12
"313","51652",2019,24403,8
"314","51652",2020,1,1
"315","51653",2017,32079,11
"316","51653",2018,49343,12
"317","51653",2019,20439,5
"318","51877",2017,1014,5
"319","54761",2022,773,1
"320","54761",2023,14653,7
"321","54763",2023,24529,6
"322","54765",2022,4245,1
"323","54765",2023,28307,6
"324","54766",2023,11896,3
"325","54768",2023,1179,5
"326","54769",2022,1090,1
"327","54769",2023,18333,6
"328","55921",2020,13350,5
"329","55921",2021,15579,6
"330","55922",2020,4593,8
"331","55922",2021,8707,11
"332","55922",2022,6117,8
"333","55922",2023,2112,3
"334","55925",2020,6730,8
"335","55925",2021,10234,12
"336","55925",2022,4134,6
"337","55926",2020,2006,3
"338","55926",2021,89,4
"339","55926",2022,2,1
"340","55928",2020,4094,7
"341","55928",2021,319,2
"342","56002",2016,6019,11
"343","56002",2017,7680,7
"344","56006",2016,2811,8
"345","56006",2017,21654,12
"346","56006",2018,6037,4
"347","56011",2016,657,2
"348","56011",2017,4174,6
"349","56011",2018,5227,7
"350","56014",2016,4508,7
"351","56014",2017,11630,10
"352","56014",2018,11013,7
"353","56015",2016,2173,8
"354","56015",2017,539,1
"355","58280",2020,15714,11
"356","58280",2021,19744,11
"357","58281",2020,18833,5
"358","58281",2022,5,2
"359","58282",2021,2670,5
"360","58282",2022,16459,2
"361","58282",2023,44773,7
"362","58285",2020,4512,8
"363","58285",2021,4664,11
"364","58285",2022,7923,9
"365","58285",2023,14380,6
"366","58287",2020,8170,6
"367","58287",2021,1,1
"368","58287",2022,2,1
"369","58287",2023,25,2
"370","58405",2012,1482,3
"371","58406",2012,2483,11
"372","58406",2013,4327,9
"373","58407",2012,2589,6
"374","58408",2012,1659,9
"375","58408",2013,365,1
"376","58411",2012,881,4
"377","58412",2012,1101,8
"378","58412",2013,2185,12
"379","58412",2014,1655,5
"380","58414",2012,3252,10
"381","58414",2013,18080,12
"382","58414",2014,35,3
"383","58416",2012,1694,4
"384","58417",2012,12309,6
"385","58417",2013,7177,4
"386","58417",2014,2930,5
"387","58417",2015,571,2
"388","58418",2012,17402,8
"389","58418",2013,20,2
"390","58419",2012,104,3
"391","58424",2012,5794,8
"392","58424",2013,4099,12
"393","58424",2014,14257,12
"394","58424",2015,9309,6
"395","58425",2012,12313,9
"396","58426",2012,2272,7
"397","58426",2013,2854,5
"398","58428",2012,3034,4
"399","58428",2013,179,3
"400","58429",2012,705,4
"401","58429",2013,10493,12
"402","58429",2014,14729,12
"403","58429",2015,338,3
"404","58430",2012,103,3
"405","58430",2013,175,3
"406","58910",2022,22308,7
"407","58910",2023,5,1
"408","58911",2022,2736,9
"409","58911",2023,2144,7
"410","58912",2022,8956,6
"411","58912",2023,597,1
"412","58913",2022,29766,9
"413","58913",2023,22680,7
