name,type,source,mean,sd,lowend,highend
37,2013,Estuarine,0.019,0.034,0,0.093
37,2013,Freshwater,0.973,0.039,0.862,1
37,2013,Seagrass,0.008,0.016,0,0.045
38,2013,Estuarine,0.021,0.038,0,0.104
38,2013,Freshwater,0.964,0.047,0.837,1
38,2013,Seagrass,0.015,0.026,0,0.076
39,2013,Estuarine,0.036,0.058,0,0.168
39,2013,Freshwater,0.946,0.064,0.773,1
39,2013,Seagrass,0.018,0.028,0,0.084
40,2013,Estuarine,0.1,0.113,0,0.326
40,2013,Freshwater,0.878,0.112,0.622,0.999
40,2013,Seagrass,0.022,0.031,0,0.09
41,2014,Estuarine,0.021,0.037,0,0.102
41,2014,Freshwater,0.972,0.039,0.857,1
41,2014,Seagrass,0.007,0.013,0,0.034
42,2014,Estuarine,0.186,0.134,0.001,0.402
42,2014,Freshwater,0.147,0.096,0.004,0.305
42,2014,Seagrass,0.667,0.069,0.521,0.772
43,2014,Estuarine,0.023,0.041,0,0.111
43,2014,Freshwater,0.971,0.043,0.841,1
43,2014,Seagrass,0.006,0.012,0,0.033
44,2014,Estuarine,0.02,0.034,0,0.097
44,2014,Freshwater,0.964,0.044,0.844,1
44,2014,Seagrass,0.016,0.027,0,0.077
45,2014,Estuarine,0.033,0.052,0,0.152
45,2014,Freshwater,0.952,0.058,0.801,1
45,2014,Seagrass,0.016,0.026,0,0.074
46,2014,Estuarine,0.025,0.042,0,0.114
46,2014,Freshwater,0.96,0.048,0.829,1
46,2014,Seagrass,0.014,0.024,0,0.068
47,2014,Estuarine,0.053,0.075,0,0.221
47,2014,Freshwater,0.925,0.08,0.717,1
47,2014,Seagrass,0.022,0.033,0,0.093
48,2014,Estuarine,0.014,0.027,0,0.07
48,2014,Freshwater,0.981,0.029,0.895,1
48,2014,Seagrass,0.005,0.01,0,0.027
49,2014,Estuarine,0.084,0.102,0,0.29
49,2014,Freshwater,0.876,0.102,0.645,0.999
49,2014,Seagrass,0.039,0.045,0,0.128
50,2014,Estuarine,0.02,0.036,0,0.095
50,2014,Freshwater,0.97,0.04,0.86,1
50,2014,Seagrass,0.009,0.017,0,0.046
51,2014,Estuarine,0.781,0.138,0.509,0.989
51,2014,Freshwater,0.194,0.128,0.002,0.411
51,2014,Seagrass,0.026,0.038,0,0.113
52,2014,Estuarine,0.271,0.178,0,0.553
52,2014,Freshwater,0.677,0.152,0.389,0.929
