wYear,hv_size,n
2011,120.49928372670983,17
2012,6.433142052640375,4
2013,43.132718753500505,19
2014,74.74717951265141,12
2016,1.4914971069143017,11
2017,16.023844086237684,17
2018,6.033053668940557,10
2019,5.556380676848978,8
2020,317.92541142089135,4
2021,0.01934975366207356,4
2022,14.76634796489617,7
