Source,Meand15N,SDd15N,Meand13C,SDd13C,Meand34S,SDd34S,TS
Freshwater,4.755,0.4683675,1.35,0.115695,0.9,0.128565,1.5
Ecotone,4.755,0.4683675,1.35,0.115695,0.9,0.128565,1.5
Bay,4.755,0.4683675,1.35,0.115695,0.9,0.128565,1.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
