"","ID","Year","Total.Det","Total.Yr.Month"
"231","50358",2021,4310,7
"232","50359",2021,7083,5
"233","51309",2012,298,2
"234","51309",2013,7,2
"235","51310",2012,2412,9
"236","51310",2013,30,1
"237","51312",2012,1759,4
"238","51312",2013,2792,11
"239","51312",2014,466,3
"240","51312",2015,979,6
"241","51313",2012,236,3
"242","51313",2013,3393,9
"243","51315",2013,11831,12
"244","51315",2014,7875,12
"245","51315",2015,1387,4
"246","51316",2012,365,6
"247","51316",2013,9503,7
"248","51317",2012,824,6
"249","51317",2013,4096,6
"250","51317",2014,2318,5
"251","51318",2012,853,4
"252","51318",2013,4936,12
"253","51318",2014,4312,11
"254","51318",2015,2322,7
"255","51321",2012,306,2
"256","51321",2014,2,1
"257","51322",2012,2,1
"258","51322",2013,241,4
"259","51323",2012,1529,5
"260","51324",2012,2634,6
"261","51324",2013,343,1
"262","51325",2012,514,8
"263","51325",2013,1883,12
"264","51325",2014,4336,12
"265","51325",2015,1054,4
"266","51326",2012,2629,9
"267","51326",2013,2381,6
"268","51638",2016,24,1
"269","51638",2017,9391,11
"270","51638",2018,19326,12
"271","51638",2019,14300,6
"272","51640",2016,1272,1
"273","51640",2017,7886,10
"274","51644",2016,1547,1
"275","51644",2017,26876,9
"276","51645",2016,286,1
"277","51645",2017,13067,9
"278","51652",2017,8945,11
"279","51652",2018,28194,12
"280","51652",2019,24403,8
"281","51652",2020,1,1
"282","51653",2017,32079,11
"283","51653",2018,49343,12
"284","51653",2019,20439,5
"285","51877",2017,1014,5
"286","55921",2020,13350,5
"287","55921",2021,15357,6
"288","55922",2020,4586,8
"289","55922",2021,2863,7
"290","55925",2020,6730,8
"291","55925",2021,5911,8
"292","55926",2020,2006,3
"293","55926",2021,89,4
"294","55928",2020,4094,7
"295","55928",2021,45,2
"296","56002",2016,6019,11
"297","56002",2017,7680,7
"298","56006",2016,2811,8
"299","56006",2017,21654,12
"300","56006",2018,6037,4
"301","56011",2016,657,2
"302","56011",2017,4174,6
"303","56011",2018,5227,7
"304","56014",2016,4508,7
"305","56014",2017,11630,10
"306","56014",2018,11013,7
"307","56015",2016,2173,8
"308","56015",2017,539,1
"309","58280",2020,15714,11
"310","58280",2021,11481,8
"311","58281",2020,18833,5
"312","58282",2021,2670,5
"313","58285",2020,4512,8
"314","58285",2021,3870,7
"315","58287",2020,8170,6
"316","58287",2021,1,1
"317","58405",2012,1482,3
"318","58406",2012,2483,11
"319","58406",2013,4327,9
"320","58407",2012,2589,6
"321","58408",2012,1659,9
"322","58408",2013,365,1
"323","58411",2012,881,4
"324","58412",2012,1101,8
"325","58412",2013,2185,12
"326","58412",2014,1655,5
"327","58414",2012,3252,10
"328","58414",2013,18080,12
"329","58414",2014,35,3
"330","58416",2012,1694,4
"331","58417",2012,12309,6
"332","58417",2013,7177,4
"333","58417",2014,2930,5
"334","58417",2015,571,2
"335","58418",2012,17402,8
"336","58418",2013,20,2
"337","58419",2012,104,3
"338","58424",2012,5794,8
"339","58424",2013,4099,12
"340","58424",2014,14257,12
"341","58424",2015,9309,6
"342","58425",2012,12313,9
"343","58426",2012,2272,7
"344","58426",2013,2854,5
"345","58428",2012,3034,4
"346","58428",2013,179,3
"347","58429",2012,705,4
"348","58429",2013,10493,12
"349","58429",2014,14729,12
"350","58429",2015,338,3
"351","58430",2012,103,3
"352","58430",2013,175,3
