rep,vol_2011,vol_2012,vol_2013,vol_2014,vol_2016,vol_2017,vol_2018,vol_2019,vol_2020
1,3.8252210624796086,32.3372455433611,5.173042030742809,4.136778620939484,8.464563885797507,5.313571434877443,17.031154185586345,15.174279791303432,116.20194193636843
2,4.710912799139362,36.44237124280398,3.249305370365305,3.975707104034909,6.453675376251201,4.272871821207156,9.505958756364082,15.721640089755647,104.8271707489648
3,4.450843429885417,37.17829359222947,4.9940524692291435,6.174446160937409,14.198948110673413,8.824625557715127,17.605425572404428,13.325547390269005,56.88932266431676
4,3.6525585773901175,28.781839497778428,5.536013388324348,5.668533153459678,4.160853614101808,8.78201432332971,15.177168984700215,15.465803240124126,97.41653389045084
5,3.2512861093077863,35.73627320989151,2.1294816888469175,8.698262610267184,12.806689548572312,6.6269755613597905,14.316593009777854,18.379627803677966,91.04001408668921
6,5.562623095841843,21.881085785861742,3.743018233081001,7.225667968414067,7.8475063420186775,3.7331726291238687,14.451325714703113,15.241570322445007,92.28573131188155
7,3.102402088452645,23.10417643479503,3.152383909808852,8.09447799860221,9.070505831453506,7.370608775370366,11.896457937441912,15.401437216299291,69.43857029741297
8,5.257150313152696,45.711687397955195,4.811175294711514,7.68945213916904,10.941249170402344,3.8149216784931377,11.21649404725361,14.589350482400958,86.78678563021901
9,4.252535616946628,46.380299773278,5.328461460826627,5.347146290435401,13.738310198002377,3.725767878326511,9.519362996901693,13.473066561547713,92.58079955036511
10,4.93868321668005,42.32104692610801,3.988416520104852,8.003441793352353,11.493819522334736,7.289449624353947,21.054213725841382,13.811951668113583,83.65839557325461
11,4.4879968187644534,45.34795230003763,3.9867629023570457,4.6017777710842855,9.938520605554773,5.980608498241074,12.191422385554846,13.21470169572239,87.27532588587552
12,3.4590613442360385,26.644112797898412,3.811717464167986,6.908878312032888,7.87385559498316,5.328375816123415,11.38519181180247,12.877076778444385,79.79527969504272
13,3.7544518184006597,31.748151964473784,4.222357476304219,4.8256514369152175,6.02303767470866,2.6282608289890015,15.742227612525049,17.68793797422374,107.83087501788629
14,4.82615720076066,49.7184734423249,4.501603259765747,5.721846814500538,9.193596403539773,7.202598531162685,18.112390858569757,10.004225596227846,70.2280815157259
15,6.207577489321948,18.17433484661808,4.064310147303247,12.507925518141581,7.280568630842776,8.830484523881738,13.647472621706502,18.856334068727673,82.12051585747855
16,5.596601532494176,24.380508103210175,5.230659800834548,5.415709195396035,7.875692557854886,5.20041421029543,12.54330320975483,14.536707889497356,125.50158091352193
17,4.3823950291949325,34.8164266283228,7.269365062464426,4.457576728329795,5.524701737061036,4.042280917533902,9.829086209920142,12.016698801367728,91.6539198360613
18,4.676378010229182,27.178031661397867,5.582038836437098,6.884914471965372,10.753899923062567,5.554695859490365,11.94408056856579,16.95449935638263,64.12530945887691
19,6.3095540987418754,30.051348776492453,6.688412957167568,4.097482655058347,10.274961111194658,5.447613627331995,11.747808893085631,13.066676563309086,118.75723138584495
20,5.176434497504625,45.20846409427155,5.519654569015902,5.9516405161822865,11.087637519970484,6.3838993339295795,11.413512423976448,17.205179599789172,70.87213389911105
