Source,n,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S
Estuarine,125,-25.09496,5.495635603,8.75544,2.047398233,5.60496,4.592990386
Freshwater,193,-29.53196891,2.83039497,9.717409326,1.862586554,19.43150259,4.286778768
Seagrass,85,-13.79247059,3.306372601,7.762,2.95629224,9.163647059,4.087501521
