Source,n,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S
Estuarine,55,-27.75109091,4.978556489,7.825272727,1.506043203,6.518909091,5.722005823
Freshwater,72,-30.18875,2.282273352,9.616805556,1.810817127,20.02416667,4.45694481
Seagrass,89,-18.68426966,6.123806356,7.416404494,2.15085514,11.42539326,4.957384541
