Name,Model,AIC,AIC_wt,AICc,AICc_wt,BIC,BIC_wt,RMSE,Sigma,R2,R2_conditional,R2_marginal
q1.m1,gam,-261.01573922849326,0.9906267002629167,-257.2262480564309,0.9617652245139835,-219.57918960493078,0.0027883969308377973,0.08140205247942955,1,0.45567486017758596,NA,NA
q1.m2,gam,-251.6947940689678,0.00937329973356316,-250.7761982214363,0.03823477546659888,-231.3381818095531,0.9972115721761663,0.08940267818563921,1,0.3723547657683962,NA,NA
q1.m3,glmmTMB,-208.28950144739,3.5200835313045312e-12,-207.97454081746872,1.9417652771135737e-11,-196.7582937570445,3.089299588931095e-8,0.10817177101400241,20.435691260161544,NA,NA,0.02377183112397066
