Name,Model,AIC,AIC_wt,AICc,AICc_wt,BIC,BIC_wt,RMSE,Sigma,R2,R2_conditional,R2_marginal
q2.glm.stage,glmmTMB,-225.60462436865186,1.5251927699436739e-5,-225.41712436865186,1.8871898141382114e-5,-216.95621860089275,6.429918788782992e-5,0.10167804430065978,22.963314073992148,NA,NA,0.04467876179687084
q2.gam.stage,gam,-245.1227751517259,0.26402030528320364,-243.94747810438065,0.1993566703236766,-222.0143805503943,8.064387714732811e-4,0.0907533234497316,1,0.3502547985669082,NA,NA
q2.glm.Lstage,glmmTMB,-217.67806110740935,2.897966731323489e-7,-217.48908472945658,3.5831389508017435e-7,-209.0524691378059,1.2357428281802861e-6,0.10413832687810774,21.901164480902025,NA,NA,0.03353414145266538
q2.gam.Lstage,gam,-218.18732086773005,3.7383309587982616e-7,-217.78487407412968,4.154258241556852e-7,-205.1076922133222,1.7192169066565864e-7,0.10273784604428994,1,0.17544357530514243,NA,NA
q2.glm.days,glmmTMB,-244.78377369883904,0.2228558807111645,-244.59627369883904,0.27574963400491453,-236.13536793107994,0.9395174451478792,0.09452334060503009,26.548280926993147,NA,NA,0.0647820070653282
q2.gam.days,gam,-246.45169542627337,0.5131078984481634,-245.88360369534013,0.5248740500335483,-230.62029557723213,0.05961040922824092,0.09213330123364365,1,0.3423428106557622,NA,NA
