season,site,Source,species_name,functional_grp,group,sampleID,d13C,C%,d15N,N%,d34S,S%
dry19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG6m_d19,-31.47,44.037,10.99,13.896,24.27,1.102
wet19,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma1,-28.39,49.28174546,8.72,15.11922727,16.38,1.17
wet19,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma3,-28.74,53.78109091,8.72,16.38056364,18.37,1.13
wet19,SRS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-SRS3-Lma1,-28.41,49.05265455,10.11,14.89643636,21.08,1.06
wet19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-RB10-Lma1,-28.35,44.72944,9.54,13.10609,15.9,1.05
wet19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-RB10-Lma2,-32.94,50.84058889,10.46,15.30577778,16.34,1.15
wet19,SRS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-SRS3-Lma2,-33.31,48.90508333,9.93,15.004,21.98,1.78
wet19,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma4,-29.54,35.46421818,8.62,10.86945455,13.17,1.34
wet19,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma5,-26.85,53.64256667,9.47,16.09533333,17.41,1.2
wet19,SRS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-SRS3-Lma3,-33.39,49.17842727,9.83,14.95709091,22.16,1.21
wet19,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma2,-28.94,62.5264,9.09,19.79475,17.96,1.2
wet19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-RB10-Lma3,-33.09,45.01709167,10.96,11.9922,19.65,0.9
wet19,TS7,Brown grass shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS7-Lte2,-19.07,38.7668,9.39,10.39066667,7.96,1.06
wet19,TS11,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS11-Lte1,-14.47,31.76111111,5.93,9.179333333,12.98,0.81
wet19,SRS6,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-SRS6-Lte1,-25.77,35.71595556,8.67,9.701384615,5.58,1
wet19,SRS6,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-SRS6-Lte3,-26.93,38.5786,8.14,10.5945,5.07,1.04
wet19,SRS6,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-SRS6-Lte2,-26.51,37.55966667,7.68,8.294909091,5.53,0.82
wet19,TS11,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS11-Lte3,-14.62,31.84392857,6.13,9.61,12.79,0.96
wet19,TS7,Brown grass shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS7-Lte1,-18.09,40.384,10.68,11.67,5.82,1.11
wet19,TS10,Brown grass shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS10-Lte1,-10.87,36.43863333,5.6,8.382444444,10.46,1.04
wet19,TS10,Brown grass shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS10-Lte2,-12.02,39.71128889,5.93,9.596,11.17,1.11
wet19,TS11,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS11-Lte2,-14.51,31.21146,6.05,9.90425,11.88,1.12
wet19,RB10,Clown Goby,Microgobius gulosus,demersal_fish,Consumer,W19-RB10-Mgu1,-33.59,42.91698,12.39,13.0548,21.83,1.03
wet19,SRS6,Clown Goby,Microgobius gulosus,demersal_fish,Consumer,W19-SRS6-Mgu3,-25.19,46.04144167,8.9,13.811,1.2,1.12
wet19,SRS6,Clown Goby,Microgobius gulosus,demersal_fish,Consumer,W19-SRS6-Mgu2,-24.73,47.3931,8.72,14.48622222,2.57,1.21
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT1,-32.19,51.121,12.38,13.513,25.02,0.953
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT10,-32.05,39.028,12.89,10.078,24.41,0.843
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT11,-32.23,40.355,12.96,10.533,24.53,0.784
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT12,-31.37,44.184,10.65,11.714,24.47,0.865
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT13,-31.49,42.513,12.43,10.336,24.09,0.807
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT14,-32.68,37.667,12.09,10.429,24.52,0.945
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT2,-32.35,39.18,13.74,9.508,24.52,0.798
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT3,-31.37,40.428,13.29,10.266,25.03,0.835
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT4,-33.06,37.95,11.33,10.136,21.63,0.544
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT5,-33.13,34.871,11.47,8.836,27.46,0.348
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT6,-31.83,39.595,12.7,10.672,16.51,0.22
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT7,-31.82,38.691,13.03,10.144,15.52,0.202
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT8,-32.5,41.12,12.11,10.497,25.78,0.616
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 NT9,-32.32,41.605,11.9,10.718,24.54,0.866
dry19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,RB10 SR1,-32.26,36.242,11.79,9.897,24.73,1.027
wet19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,W19-RB10-Npe1,-32.65,31.3634,10.07,11.7706,23.01,0.81
wet19,RB10,Coastal Shiner,Notropis petersoni,Forage_fish,Consumer,W19-RB10-Npe2,-30.8,45.454075,13.01,12.151,18.45,0.84
wet19,TS7,Code Goby,Gobiosoma robustum,demersal_fish,Consumer,W19-TS7-Gro2,-18.75,39.9648,10.62,11.03844444,3.03,1.03
wet19,TS7,Code Goby,Gobiosoma robustum,demersal_fish,Consumer,W19-TS7-Gro1,-18.49,40.7570375,10.63,11.91475,3.82,1.04
dry19,SRS6,Crested goby,Lophogobius cyprinoides,demersal_fish,Consumer,SRS6 CR1,-23.36,42.69,7.41,11.27,7.61,1.123
dry19,SRS6,Crested goby,Lophogobius cyprinoides,demersal_fish,Consumer,SRS6 CR2,-25.55,32.826,8.82,8.292,7.17,1.11
dry19,SRS6,Crested goby,Lophogobius cyprinoides,demersal_fish,Consumer,SRS6 CR3,-24.52,42.695,9.18,11.994,9.03,1.065
dry19,SRS6,Crested goby,Lophogobius cyprinoides,demersal_fish,Consumer,SRS6 CR4,-24.86,33.822,9.48,8.525,8.97,1.032
dry19,SRS4,Crested goby,Lophogobius cyprinoides,demersal_fish,Consumer,SRS4_CR2_d19,-30.57,34.61,9.92,10.17413044,,1.68
wet19,SRS6,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-SRS6-Lcy1,-28.33,43.6725,10.17,13.0706,-5.88,1.38
wet19,SRS4,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-SRS4-Lcy1,-30.91,35.92016,10.21,12.67416667,6.93,0.94
wet19,RB10,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-RB10-Lcy2,-31.97,35.38174546,12.88,6.846923077,20.46,0.75
wet19,RB10,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-RB10-Lcy1,-32.77,36.28301667,11.3,12.6236,17.23,0.92
wet19,SRS4,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-SRS4-Lcy2,-28.29,47.31389091,8.81,14.40854546,12.12,1.17
wet19,SRS6,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-SRS6-Lcy3,-25.91,44.60864,9.5,13.4278,1.09,1.13
wet19,TS7,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-TS7-Lcy3,-20.35,50.86008889,10.92,15.69844444,-1.47,1.02
wet19,SRS4,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-SRS4-Lcy3,-27.9,44.92750769,9.1,14.07553846,9.86,1.5
wet19,TS7,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-TS7-Lcy1,-18.35,44.62256364,9.96,13.19618182,4.58,1.31
wet19,SRS6,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-SRS6-Lcy2,-29.54,42.46018889,10.81,12.35155556,-5.68,1.07
wet19,TS7,Crested Goby,Lophogobius cyprinoides,demersal_fish,Consumer,W19-TS7-Lcy2,-18.8,38.11714167,9.5,11.22216667,3.03,1.02
wet19,RB10,Dollar Sunfish,Lepomis marginatus,demersal_fish,Consumer,W19-RB10-Lmar4,-30,39.7618,10.22,10.97138462,20.61,0.91
wet19,RB10,Dollar Sunfish,Lepomis marginatus,demersal_fish,Consumer,W19-RB10-Lmar3,-27.5,39.6161,8.81,10.5074,15.66,0.95
wet19,RB10,Dollar Sunfish,Lepomis marginatus,demersal_fish,Consumer,W19-RB10-Lmar1,-24.71,48.39611429,8.53,14.91171429,15.19,1.04
wet19,RB10,Dollar Sunfish,Lepomis marginatus,demersal_fish,Consumer,W19-RB10-Lmar1.2,-27.82,42.14227273,8.66,11.07309091,15.51,0.87
wet19,RB10,Dollar Sunfish,Lepomis marginatus,demersal_fish,Consumer,W19-RB10-Lmar3,-27.5,39.6161,8.81,10.5074,14.79,0.93
wet19,RB10,Dollar Sunfish,Lepomis marginatus,demersal_fish,Consumer,W19-RB10-Lmar4,-30,39.7618,10.22,10.97138462,18.99,1.01
wet19,RB10,Dollar Sunfish,Lepomis marginatus,demersal_fish,Consumer,W19-RB10-Lmar6,-26.53,49.76396,7.87,14.938,12.72,1.08
wet19,RB10,Dollar Sunfish,Lepomis marginatus,demersal_fish,Consumer,W19-RB-Lmar1,-27.69,36.62777778,8.75,11.07345455,11.68,1.14
dry19,SRS3,Eastern mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,SRS-GAMHOL-1,-29.32,53.40249231,8.98,14.76512308,20.74,0.535046296
dry19,SRS3,Eastern mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,SRS-GAMHOL-2,-29.35,27.563225,8.98,7.7045625,20.91,0.621407767
dry19,SRS3,Eastern mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,SRS-GAMHOL-3,-29.91,31.31279452,8.92,8.433465753,20.85,0.655571809
dry19,TS3,Eastern mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,TSL-GAMHOL-2,-28.59,34.12182279,7.67,7.953341772,15.21,0.556027919
dry19,TS3,Eastern mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,TSL-GAMHOL-3,-29.02,30.17322785,7.79,7.103632911,16.72,0.529785523
wet19,SRS6,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-SRS6-Gho5,-25.51,42.47404546,9.1,11.33290909,4.06,1.14
wet19,SRS6,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-SRS6-Gho1,-26.9,39.4399,8.63,11.26261539,0.33,1.18
wet19,SRS6,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-SRS6-Gho3,-27.2,41.92595,8.66,11.14977778,0.58,1.11
wet19,RB10,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-RB10-Gho1,-29.22,42.15489,10.21,11.95777778,19.6,0.89
wet19,TS3,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-TS3-Gho3,-23.12,42.18305556,8.66,15.4415,11.72,1.26
wet19,TS3,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-TS3-Gho1,-22.44,47.21017143,8.94,13.44342857,11.99,1.2
wet19,RB10,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-RB10-Gho2,-28.89,41.687425,10.89,12.0285,18.32,1.15
wet19,TS3,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-TS3-Gho2,-23.15,41.0179625,8.87,11.56925,11.92,1.2
wet19,RB10,Eastern Mosquitofish,Gambusia holbrooki,Forage_fish,Consumer,W19-RB10-Gho3,-30.29,49.5488625,10.72,14.23425,20.44,0.96
wet19,TS11,Estuarine Mudcrab,Rhithropanopeus harrisii,Crab,Consumer,W19-TS11-Rha3,-19.44,19.41831818,3.64,4.239833333,14.22,0.66
wet19,TS11,Estuarine Mudcrab,Rhithropanopeus harrisii,Crab,Consumer,W19-TS11-Rha2,-19.29,17.18415,3.48,4.1526,13.38,0.36
dry19,TS11,File fish,filespp,demersal_fish,Consumer,TS11 FF1,-17.71,43.215,6.27,10.393,11.4,1.21
dry19,SRS3,Flagfish,Jordanella floridae,Forage_fish,Consumer,SRS-JORFLO-1,-31.89,31.51984,7.6,8.58452,19.8,0.523160763
dry19,SRS3,Flagfish,Jordanella floridae,Forage_fish,Consumer,SRS-JORFLO-2,-31.9,26.79312941,7.6,6.6894,19.68,0.496698113
dry19,SRS3,Flagfish,Jordanella floridae,Forage_fish,Consumer,SRS-JORFLO-3,-30.79,31.35853333,7.47,8.655453333,18.97,0.680642633
wet19,SRS3,Flagfish,Jordanella floridae,Forage_fish,Consumer,W19-SRS3-Jfl1,-31.21,40.8836,10.14,10.50283333,21.28,0.8
wet19,SRS3,Flagfish,Jordanella floridae,Forage_fish,Consumer,W19-SRS3-Jfl2,-29.89,54.76422727,9.59,14.97745455,21.26,0.72
dry19,RB10,Flatback mud crab,Eurypanopeus depressus,Crab,Consumer,RB10 CB1,-26.13,23.775,9.69,4.41,18,0.292
dry19,RB10,Flatback mud crab,Eurypanopeus depressus,Crab,Consumer,RB10 NC1,-25.22,22.051,5.63,3.732,5.72,0.398
wet19,TS7,Flatback mud crab,Eurypanopeus depressus,Crab,Consumer,W19-TS7-Ede2,-25.24,19.46881667,8.26,4.25575,5.5,0.35
wet19,TS7,Flatback mud crab,Eurypanopeus depressus,Crab,Consumer,W19-TS7-Ede1,-24.17,19.59189091,7.12,4.007333333,5.46,0.27
wet19,TS11,Fringed Filefish,Monacanthus ciliatus,demersal_fish,Consumer,W19-TS11-Mci3,-14.34,39.39936364,6.83,11.37563636,8.77,1.24
wet19,TS11,Fringed Filefish,Monacanthus ciliatus,demersal_fish,Consumer,W19-TS11-Mci2,-13.79,38.28912727,6.82,10.68723077,10.5,1.32
wet19,TS11,Fringed Filefish,Monacanthus ciliatus,demersal_fish,Consumer,W19-TS11-Mci1,-13.63,38.14997,6.85,14.28963636,10.49,1.66
dry19,SRS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,SRS-PALPAL-1,-31.07,33.15388136,7.74,8.842457627,22.06,0.674924242
