"","ID","Year","Total.Det","Total.Yr.Month"
"231","32904",2018,9,2
"232","32905",2013,34501,7
"233","32905",2014,13323,7
"234","32911",2013,623,3
"235","32913",2013,16514,9
"236","32913",2014,18085,12
"237","32913",2015,1781,9
"238","32914",2013,1197,2
"239","32916",2013,463,2
"240","32916",2014,2179,11
"241","32918",2013,8588,8
"242","32918",2014,7599,5
"243","32919",2013,11986,8
"244","32919",2014,5444,10
"245","32919",2015,117,6
"246","32919",2016,1,1
"247","32920",2013,7516,8
"248","32920",2014,2343,4
"249","32922",2013,1042,3
"250","35764",2016,4306,3
"251","35770",2016,3151,3
"252","35782",2016,597,1
"253","35783",2016,43,1
"254","35785",2016,25085,3
"255","35787",2016,25020,4
"256","35790",2016,10026,2
"257","35791",2016,34523,4
"258","35793",2016,632,2
"259","35794",2016,3919,2
"260","35795",2016,11636,3
"261","35796",2016,1363,3
"262","35798",2016,8372,3
"263","35803",2016,149769,4
"264","35808",2016,8789,2
"265","49983",2021,928,3
"266","49984",2021,3449,5
"267","49985",2021,57,1
"268","49987",2021,15904,4
"269","50350",2021,1599,2
"270","50351",2021,10035,7
"271","50356",2021,9771,6
"272","50357",2021,936,3
"273","50358",2021,4310,7
"274","50359",2021,7083,5
"275","51306",2012,653,2
"276","51308",2012,265,2
"277","51309",2012,298,2
"278","51309",2013,7,2
"279","51310",2012,2412,9
"280","51310",2013,30,1
"281","51311",2012,36,2
"282","51312",2012,1759,4
"283","51312",2013,2792,11
"284","51312",2014,466,3
"285","51312",2015,979,6
"286","51313",2012,236,3
"287","51313",2013,3393,9
"288","51315",2013,11831,12
"289","51315",2014,7875,12
"290","51315",2015,1387,4
"291","51316",2012,365,6
"292","51316",2013,9503,7
"293","51317",2012,824,6
"294","51317",2013,4096,6
"295","51317",2014,2318,5
"296","51318",2012,853,4
"297","51318",2013,4936,12
"298","51318",2014,4312,11
"299","51318",2015,2322,7
"300","51319",2013,797,3
"301","51321",2012,306,2
"302","51321",2014,2,1
"303","51322",2012,2,1
"304","51322",2013,241,4
"305","51323",2012,1529,5
"306","51324",2012,2634,6
"307","51324",2013,343,1
"308","51325",2012,514,8
"309","51325",2013,1883,12
"310","51325",2014,4336,12
"311","51325",2015,1054,4
"312","51326",2012,2629,9
"313","51326",2013,2381,6
"314","51327",2012,60,2
"315","51638",2016,24,1
"316","51638",2017,9391,11
"317","51638",2018,19326,12
"318","51638",2019,14300,6
"319","51640",2016,1272,1
"320","51640",2017,7886,10
"321","51644",2016,1547,1
"322","51644",2017,26876,9
"323","51645",2016,286,1
"324","51645",2017,13067,9
"325","51652",2017,8945,11
"326","51652",2018,28194,12
"327","51652",2019,24403,8
"328","51652",2020,1,1
"329","51653",2017,32079,11
"330","51653",2018,49343,12
"331","51653",2019,20439,5
"332","51871",2017,140,1
"333","51877",2017,1014,5
"334","55921",2020,13350,5
"335","55921",2021,15357,6
"336","55922",2020,4586,8
"337","55922",2021,2863,7
"338","55925",2020,6730,8
"339","55925",2021,5911,8
"340","55926",2020,2006,3
"341","55926",2021,89,4
"342","55928",2020,4094,7
"343","55928",2021,45,2
"344","56002",2016,6019,11
"345","56002",2017,7680,7
"346","56003",2016,498,2
"347","56005",2016,512,2
"348","56006",2016,2811,8
"349","56006",2017,21654,12
"350","56006",2018,6037,4
"351","56011",2016,657,2
"352","56011",2017,4174,6
"353","56011",2018,5227,7
"354","56013",2016,3872,3
"355","56014",2016,4508,7
"356","56014",2017,11630,10
"357","56014",2018,11013,7
"358","56015",2016,2173,8
"359","56015",2017,539,1
"360","56016",2016,120,1
"361","58280",2020,15714,11
"362","58280",2021,11481,8
"363","58281",2020,18833,5
"364","58282",2021,2670,5
"365","58285",2020,4512,8
"366","58285",2021,3870,7
"367","58287",2020,8170,6
"368","58287",2021,1,1
"369","58405",2012,1482,3
"370","58406",2012,2483,11
"371","58406",2013,4327,9
"372","58407",2012,2589,6
"373","58408",2012,1659,9
"374","58408",2013,365,1
"375","58409",2012,40,1
"376","58410",2012,223,1
"377","58411",2012,881,4
"378","58412",2012,1101,8
"379","58412",2013,2185,12
"380","58412",2014,1655,5
"381","58413",2012,1341,1
"382","58414",2012,3252,10
"383","58414",2013,18080,12
"384","58414",2014,35,3
"385","58415",2012,33,2
"386","58416",2012,1694,4
"387","58417",2012,12309,6
"388","58417",2013,7177,4
"389","58417",2014,2930,5
"390","58417",2015,571,2
"391","58418",2012,17402,8
"392","58418",2013,20,2
"393","58419",2012,104,3
"394","58420",2012,14,2
"395","58421",2012,688,2
"396","58422",2012,752,2
"397","58423",2012,413,1
"398","58424",2012,5794,8
"399","58424",2013,4099,12
"400","58424",2014,14257,12
"401","58424",2015,9309,6
"402","58425",2012,12313,9
"403","58426",2012,2272,7
"404","58426",2013,2854,5
"405","58427",2012,886,3
"406","58428",2012,3034,4
"407","58428",2013,179,3
"408","58429",2012,705,4
"409","58429",2013,10493,12
"410","58429",2014,14729,12
"411","58429",2015,338,3
"412","58430",2012,103,3
"413","58430",2013,175,3
